School Name,Borough,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing)
Clinton School Writers and Artists,Manhattan,,,
Inwood Early College for Health and Information Technologies,Manhattan,,,
"New Explorations into Science, Technology and Math High School",Manhattan,657,601,601
Essex Street Academy,Manhattan,395,411,387
Lower Manhattan Arts Academy,Manhattan,418,428,415
High School for Dual Language and Asian Studies,Manhattan,613,453,463
Henry Street School for International Studies,Manhattan,410,406,381
Bard High School Early College,Manhattan,634,641,639
Urban Assembly Academy of Government and Law,Manhattan,389,395,381
Marta Valle High School,Manhattan,438,413,394
University Neighborhood High School,Manhattan,437,355,352
New Design High School,Manhattan,381,396,372
Pace High School,Manhattan,430,435,427
High School for Health Professions and Human Services,Manhattan,452,445,430
High School for Language and Diplomacy,Manhattan,446,433,411
Academy for Software Engineering,Manhattan,,,
Union Square Academy for Health Sciences,Manhattan,,,
International High School at Union Square,Manhattan,403,330,316
Institute for Collaborative Education,Manhattan,501,550,541
Gramercy Arts High School,Manhattan,446,459,455
Urban Assembly New York Harbor School,Manhattan,446,453,428
Richard R. Green High School of Teaching,Manhattan,411,415,409
Millennium High School,Manhattan,577,560,567
Urban Assembly School of Business for Young Women,Manhattan,418,420,417
High School of Economics and Finance,Manhattan,469,442,447
Leadership and Public Service High School,Manhattan,390,396,392
East Side Community School,Manhattan,454,428,445
Baruch College Campus High School,Manhattan,592,526,531
47 American Sign Language and English Secondary School,Manhattan,,,
School of the Future High School,Manhattan,534,533,522
Manhattan Village Academy,Manhattan,522,479,510
Quest to Learn,Manhattan,,,
NYC Lab School for Collaborative Studies,Manhattan,595,550,555
Harvest Collegiate High School,Manhattan,,,
Hudson High School of Learning Technologies,Manhattan,378,407,388
Manhattan Business Academy,Manhattan,410,407,399
Humanities Preparatory Academy,Manhattan,,,
Landmark High School,Manhattan,386,386,386
High School of Fashion Industries,Manhattan,433,442,427
NYC Museum School,Manhattan,560,530,522
Chelsea Career and Technical Education High School,Manhattan,439,418,400
NYC iSchool,Manhattan,518,515,503
Murray Hill Academy,Manhattan,,,
Manhattan Academy for Arts and Language,Manhattan,350,334,321
Unity Center for Urban Technologies,Manhattan,375,385,387
Business of Sports School,Manhattan,395,386,371
Facing History School,Manhattan,366,356,371
High School of Hospitality Management,Manhattan,451,433,424
Urban Assembly School of Design and Construction,Manhattan,445,417,403
Urban Assembly School for Emergency Management,Manhattan,,,
High School for Environmental Studies,Manhattan,469,454,444
Art and Design High School,Manhattan,455,475,458
Manhattan Bridges High School,Manhattan,409,360,347
Urban Assembly Gateway School for Technology,Manhattan,445,432,415
Food and Finance High School,Manhattan,428,435,421
Eleanor Roosevelt High School,Manhattan,641,617,631
"High School for Arts, Imagination, and Inquiry",Manhattan,375,389,380
Urban Assembly School for Media Studies,Manhattan,392,419,396
Beacon High School,Manhattan,583,586,595
Fiorello H. LaGuardia High School of Music and Art and Performing Arts,Manhattan,592,592,597
High School of Arts and Technology,Manhattan,421,428,406
Manhattan / Hunter Science High School,Manhattan,581,531,535
Special Music School,Manhattan,,,
"High School for Law, Advocacy, and Community Justice",Manhattan,415,417,402
Urban Assembly School for Green Careers,Manhattan,393,371,378
Frank McCourt High School,Manhattan,489,491,500
Global Learning Collaborative,Manhattan,406,407,413
Wadleigh Secondary School for the Performing and Visual Arts,Manhattan,381,401,392
Frederick Douglass Academy II Secondary School,Manhattan,390,384,373
Columbia Secondary School,Manhattan,583,561,546
Academy for Social Action (College Board),Manhattan,357,349,365
Urban Assembly School for the Performing Arts,Manhattan,379,399,388
Heritage School,Manhattan,385,380,370
Central Park East High School,Manhattan,483,468,439
Park East High School,Manhattan,429,433,435
Young Women's Leadership School,Manhattan,478,465,472
Manhattan Center for Science and Mathematics,Manhattan,556,505,495
Esperanza Preparatory Academy,Manhattan,,,
Mott Hall High School,Manhattan,416,445,440
Thurgood Marshall Academy for Learning and Social Change,Manhattan,402,394,400
"High School for Mathematics, Science, and Engineering at City College",Manhattan,683,610,596
A. Philip Randolph Campus High School,Manhattan,459,453,447
Gregorio Luperon High School for Science and Mathematics,Manhattan,383,355,352
Community Health Academy of the Heights,Manhattan,387,389,385
Washington Heights Expeditionary Learning School,Manhattan,443,423,434
High School for Excellence and Innovation,Manhattan,,,
Urban Assembly School for Global Commerce,Manhattan,,,
Coalition School for Social Change,Manhattan,344,368,367
Repertory Company High School for Theatre Arts,Manhattan,425,451,458
Professional Performing Arts High School,Manhattan,496,520,516
Jacqueline Kennedy Onassis High School,Manhattan,418,422,415
Manhattan Early College School for Advertising,Manhattan,,,
Murry Bergtraum High School for Business Careers,Manhattan,418,415,398
Urban Assembly Maker Academy,Manhattan,,,
Stephen T. Mather Building Arts and Craftsmanship High School,Manhattan,,,
Frederick Douglass Academy,Manhattan,463,452,450
High School for Media and Communications,Manhattan,378,381,383
College Academy,Manhattan,367,377,363
High School for Law and Public Service,Manhattan,401,394,381
City College Academy of the Arts,Manhattan,495,445,450
High School for Health Careers and Sciences,Manhattan,374,385,389
Manhattan International High School,Manhattan,438,358,382
Talent Unlimited High School,Manhattan,485,498,496
Vanguard High School,Manhattan,431,409,396
Life Sciences Secondary School,Manhattan,435,440,425
Stuyvesant High School,Manhattan,754,697,693
Ralph R. McKee Career and Technical Education High School,Staten Island,420,429,409
Michael J. Petrides School,Staten Island,483,473,470
Curtis High School,Staten Island,453,458,444
Port Richmond High School,Staten Island,432,427,425
Staten Island Technical High School,Staten Island,711,660,670
New Dorp High School,Staten Island,454,446,444
Tottenville High School,Staten Island,494,476,476
Susan E. Wagner High School,Staten Island,496,490,487
Gaynor McCown Expeditionary Learning School,Staten Island,442,458,454
CSI High School for International Studies,Staten Island,477,468,464
Bronx Design and Construction Academy,Bronx,,,
New Explorers High School,Bronx,390,398,376
"Bronx School for Law, Government, and Justice",Bronx,403,409,415
Urban Assembly School for Careers in Sports,Bronx,402,405,395
Bronx Leadership Academy II High School,Bronx,384,355,361
Urban Assembly Bronx Academy of Letters,Bronx,398,400,405
Health Opportunities High School,Bronx,374,386,382
Community School for Social Justice,Bronx,380,382,362
Alfred E. Smith Career and Technical Education High School,Bronx,390,373,371
Comprehensive Model School Project,Bronx,,,
Academy for Language and Technology,Bronx,371,334,348
Laboratory School of Finance and Technology,Bronx,,,
South Bronx Preparatory (College Board),Bronx,419,414,394
International Community High School,Bronx,345,338,312
Foreign Language Academy of Global Studies,Bronx,,,
Hostos-Lincoln Academy of Science,Bronx,463,451,435
"HERO High (Health, Education, and Research Occupations High School)",Bronx,,,
University Heights Secondary School,Bronx,420,446,424
Mott Haven Village Preparatory High School,Bronx,377,373,369
High School for Violin and Dance,Bronx,363,401,396
Bronx International High School,Bronx,355,330,320
School for Tourism and Hospitality,Bronx,,,
Bronx Career and College Preparatory High School,Bronx,370,379,381
Bronx Center for Science and Mathematics,Bronx,513,468,485
Bronx Early College Academy for Teaching and Learning,Bronx,424,413,409
Eximius College Preparatory Academy (College Board),Bronx,400,391,397
Bronx Latin,Bronx,394,381,363
School for Excellence,Bronx,377,385,383
Morris Academy for Collaborative Studies,Bronx,407,389,386
Frederick Douglass Academy III Secondary School,Bronx,387,386,386
Claremont International High School,Bronx,,,
Urban Assembly School for Applied Math and Science,Bronx,445,418,422
Bronx Collegiate Academy,Bronx,395,401,382
Mott Hall Bronx High School,Bronx,417,399,398
Leadership Institute,Bronx,,,
New Directions Secondary School,Bronx,,,
Bronx Leadership Academy High School,Bronx,375,372,374
Validus Preparatory Academy: An Expeditionary Learning School,Bronx,382,375,384
Bronx High School for Medical Science,Bronx,431,421,426
Eagle Academy for Young Men,Bronx,398,410,397
Bronx High School of Business,Bronx,365,360,346
DreamYard Preparatory School,Bronx,385,385,388
Theatre Arts Production Company School,Bronx,402,421,410
West Bronx Academy for the Future,Bronx,404,383,378
Crotona International High School,Bronx,,,
Bronx High School for Law and Community Service,Bronx,401,402,386
Bronx Academy for Software Engineering (BASE),Bronx,,,
Belmont Preparatory High School,Bronx,413,408,402
Fordham High School for the Arts,Bronx,398,404,412
High School for Energy and Technology,Bronx,,,
Knowledge and Power Preparatory Academy International High School (KAPPA),Bronx,408,417,404
Fordham Leadership Academy for Business and Technology,Bronx,355,373,368
Metropolitan High School,Bronx,387,388,386
Holcombe L. Rucker School of Community Research,Bronx,376,372,369
Banana Kelly High School,Bronx,378,391,378
